收款方式,单数,总金额(元),占比(%)
会员卡支付,1,18.00,0.16,
支付宝支付,35,1268.00,11.49,
现金支付,16,342.00,3.10,
开个店支付,57,1801.00,16.32,
口碑团购,1,21.90,0.20,
美团买单,59,1605.10,14.54,
美团团购,7,143.40,1.30,
微信支付,184,5838.16,52.89,
总计,360,11037.56,,
